key,value,date
Minecraft,0.44,2014-12-14
Minecraft,0.6,2014-12-21
Minecraft,0.51,2014-12-28
Minecraft,0.36,2015-01-04
Minecraft,0.36,2015-01-11
Minecraft,0.36,2015-01-18
Minecraft,0.36,2015-01-25
Minecraft,0.35,2015-02-01
Minecraft,0.38,2015-02-08
Minecraft,0.49,2015-02-15
Minecraft,0.36,2015-02-22
Minecraft,0.36,2015-03-01
Minecraft,0.34,2015-03-08
Minecraft,0.33,2015-03-15
Minecraft,0.34,2015-03-22
Minecraft,0.44,2015-03-29
Minecraft,0.41,2015-04-05
Minecraft,0.35,2015-04-12
Minecraft,0.31,2015-04-19
Minecraft,0.31,2015-04-26
Minecraft,0.36,2015-05-03
Minecraft,0.33,2015-05-10
Minecraft,0.32,2015-05-17
Minecraft,0.43,2015-05-24
Minecraft,0.35,2015-05-31
Minecraft,0.35,2015-06-07
Minecraft,0.34,2015-06-14
Minecraft,0.33,2015-06-21
Minecraft,0.34,2015-06-28
Minecraft,0.36,2015-07-05
Minecraft,0.35,2015-07-12
Minecraft,0.41,2015-07-19
Minecraft,0.4,2015-07-26
Minecraft,0.38,2015-08-02
Minecraft,0.38,2015-08-09
Minecraft,0.36,2015-08-16
Minecraft,0.38,2015-08-23
Minecraft,0.38,2015-08-30
Minecraft,0.3,2015-09-06
Minecraft,0.3,2015-09-13
Minecraft,0.29,2015-09-20
Minecraft,0.28,2015-09-27
Minecraft,0.28,2015-10-04
Minecraft,0.32,2015-10-11
Minecraft,0.32,2015-10-18
Minecraft,0.39,2015-10-25
Minecraft,0.3,2015-11-01
Minecraft,0.3,2015-11-08
Minecraft,0.32,2015-11-15
Minecraft,0.32,2015-11-22
Minecraft,0.32,2015-11-29
Minecraft,0.34,2015-12-06
Minecraft,0.35,2015-12-13
Minecraft,0.49,2015-12-20
Minecraft,0.44,2015-12-27
Minecraft,0.31,2016-01-03
Minecraft,0.29,2016-01-10
Minecraft,0.31,2016-01-17
Minecraft,0.3,2016-01-24
Minecraft,0.3,2016-01-31
Minecraft,0.3,2016-02-07
Minecraft,0.41,2016-02-14
Minecraft,0.3,2016-02-21
Minecraft,0.31,2016-02-28
Minecraft,0.29,2016-03-06
Minecraft,0.28,2016-03-13
Minecraft,0.31,2016-03-20
Minecraft,0.38,2016-03-27
Minecraft,0.35,2016-04-03
Minecraft,0.27,2016-04-10
Minecraft,0.25,2016-04-17
Minecraft,0.25,2016-04-24
Minecraft,0.26,2016-05-01
Minecraft,0.22,2016-05-08
Minecraft,0.23,2016-05-15
Minecraft,0.22,2016-05-22
Minecraft,0.3,2016-05-29
Minecraft,0.23,2016-06-05
Minecraft,0.25,2016-06-12
Minecraft,0.25,2016-06-19
Minecraft,0.25,2016-06-26
Minecraft,0.24,2016-07-03
Minecraft,0.22,2016-07-10
Minecraft,0.22,2016-07-17
Minecraft,0.25,2016-07-24
Minecraft,0.24,2016-07-31
Minecraft,0.23,2016-08-07
Minecraft,0.22,2016-08-14
Minecraft,0.23,2016-08-21
Minecraft,0.24,2016-08-28
Minecraft,0.18,2016-09-04
Minecraft,0.17,2016-09-11
Minecraft,0.17,2016-09-18
Minecraft,0.16,2016-09-25
Minecraft,0.17,2016-10-02
Minecraft,0.17,2016-10-09
Minecraft,0.17,2016-10-16
Minecraft,0.23,2016-10-23
Minecraft,0.17,2016-10-30
Minecraft,0.16,2016-11-06
Minecraft,0.18,2016-11-13
Minecraft,0.18,2016-11-20
Minecraft,0.18,2016-11-27
Minecraft,0.18,2016-12-04
Minecraft,0.19,2016-12-11
Minecraft,0.28,2016-12-18
Minecraft,0.25,2016-12-25
Minecraft,0.2,2017-01-01
Minecraft,0.17,2017-01-08
Minecraft,0.17,2017-01-15
Minecraft,0.17,2017-01-22
Minecraft,0.17,2017-01-29
Minecraft,0.18,2017-02-05
Minecraft,0.22,2017-02-12
Minecraft,0.2,2017-02-19
Minecraft,0.18,2017-02-26
Minecraft,0.16,2017-03-05
Minecraft,0.16,2017-03-12
Minecraft,0.15,2017-03-19
Minecraft,0.16,2017-03-26
Minecraft,0.18,2017-04-02
Minecraft,0.22,2017-04-09
Minecraft,0.19,2017-04-16
Minecraft,0.14,2017-04-23
Minecraft,0.16,2017-04-30
Minecraft,0.15,2017-05-07
Minecraft,0.14,2017-05-14
Minecraft,0.13,2017-05-21
Minecraft,0.2,2017-05-28
Minecraft,0.15,2017-06-04
Minecraft,0.15,2017-06-11
Minecraft,0.15,2017-06-18
Minecraft,0.18,2017-06-25
Minecraft,0.16,2017-07-02
Minecraft,0.17,2017-07-09
Minecraft,0.17,2017-07-16
Minecraft,0.2,2017-07-23
Minecraft,0.2,2017-07-30
Minecraft,0.19,2017-08-06
Minecraft,0.18,2017-08-13
Minecraft,0.18,2017-08-20
Minecraft,0.18,2017-08-27
Minecraft,0.15,2017-09-03
Minecraft,0.14,2017-09-10
Minecraft,0.16,2017-09-17
Minecraft,0.14,2017-09-24
Minecraft,0.13,2017-10-01
Minecraft,0.13,2017-10-08
Minecraft,0.14,2017-10-15
Minecraft,0.16,2017-10-22
Minecraft,0.13,2017-10-29
Minecraft,0.13,2017-11-05
Minecraft,0.14,2017-11-12
Minecraft,0.14,2017-11-19
Minecraft,0.14,2017-11-26
Minecraft,0.14,2017-12-03
Minecraft,0.15,2017-12-10
Minecraft,0.18,2017-12-17
Minecraft,0.19,2017-12-24
Minecraft,0.16,2017-12-31
Minecraft,0.12,2018-01-07
Minecraft,0.13,2018-01-14
Minecraft,0.13,2018-01-21
Minecraft,0.12,2018-01-28
Minecraft,0.13,2018-02-04
Minecraft,0.15,2018-02-11
Minecraft,0.12,2018-02-18
Minecraft,0.13,2018-02-25
Minecraft,0.12,2018-03-04
Minecraft,0.11,2018-03-11
Minecraft,0.12,2018-03-18
Minecraft,0.13,2018-03-25
Minecraft,0.15,2018-04-01
Minecraft,0.13,2018-04-08
Minecraft,0.09,2018-04-15
Minecraft,0.1,2018-04-22
Minecraft,0.09,2018-04-29
Minecraft,0.1,2018-05-06
Minecraft,0.09,2018-05-13
Minecraft,0.1,2018-05-20
Minecraft,0.13,2018-05-27
Minecraft,0.1,2018-06-03
Minecraft,0.1,2018-06-10
Minecraft,0.1,2018-06-17
Minecraft,0.1,2018-06-24
Minecraft,0.1,2018-07-01
Minecraft,0.11,2018-07-08
Minecraft,0.12,2018-07-15
Minecraft,0.14,2018-07-22
Minecraft,0.14,2018-07-29
Minecraft,0.13,2018-08-05
Minecraft,0.14,2018-08-12
Minecraft,0.14,2018-08-19
Minecraft,0.14,2018-08-26
Minecraft,0.11,2018-09-02
Minecraft,0.1,2018-09-09
Minecraft,0.1,2018-09-16
Minecraft,0.1,2018-09-23
Minecraft,0.1,2018-09-30
Minecraft,0.09,2018-10-07
Minecraft,0.1,2018-10-14
Minecraft,0.12,2018-10-21
Minecraft,0.1,2018-10-28
Minecraft,0.1,2018-11-04
Minecraft,0.1,2018-11-11
